"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Unique Project ID","Project ID","Agency Project ID","Project Name","Project Goal","Start Date","Completion Date","Project Life Cycle Cost","Software Project","New or Existing Metric","If Existing: Metric ID","If Existing: Agency Metric ID","If New: Metric Description","If New: Metric Unit of Measure","If New: Metric Measurement Condition","Metric Target at Deployment","Schedule Variance (in days)","Schedule Variance (%)","Schedule Color","Cost Variance ($ M)","Cost Variance (%)","Cost Color","Project Status","Updated Date","Updated Time"
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	20",12986,,"FY13 Continuity of Operations (COOP) Plan Test and Update",,2012-11-01,2013-04-30,0.037409,,,,,,,,,0,0,Green,0.000485,1.3,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	21",12987,,"FY13 Contingency Plan Test and Update",,2012-11-01,2013-04-30,0.016348,,,,,,,,,0,0,Green,-0.001569,-9.6,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	22",12988,,"FY13 CAU Phase 1",,2012-10-01,2013-03-31,1.80767,,,,,,,,,4,2.21,Green,-0.180331,-9.98,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	23",12989,,"FY13 CAU Phase 2",,2013-04-02,2013-09-28,1.778123,,,,,,,,,0,0,Green,-0.159191,-8.95,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	3",12990,,"FY12 Q1 Oracle Security Patch (Database and Operating System)",,2011-10-18,2011-11-30,0.01,,,,,,,,,-3,-6.98,Green,0.0002,2,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	4",12991,,"FY12 Q2 Oracle Security Patch (Database and Operating System)",,2012-01-17,2012-02-29,0.01,,,,,,,,,-3,-6.98,Green,0.000207,2.07,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	41",12992,,"FY17 USA Staffing Classification Phase 1","Completion of Phase 1 of development of classification integration.",2017-01-01,2017-04-30,0.107,yes,,,,,,,,0,0,Green,0,0,Green,Completed,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	42",12993,,"FY16 USA Staffing Data Infrastructure Phase 1",,2016-04-01,2016-09-30,0.96,,,,,,,,,-1290,-708.79,Red,0,0,Green,In-progress,09/01/2018,00:03:29
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	45",12996,,"FY17 USA Staffing Classification Phase 2","Completion of Phase 2 of development of classification integration.",2017-05-01,2017-09-30,0.322,yes,,,,,,,,0,0,Green,0,0,Green,Completed,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	5",12998,,"FY12 Q3 Oracle Security Patch (Database and Operating System)",,2012-04-17,2012-05-31,0.01,,,,,,,,,-2,-4.55,Green,9.2E-5,0.92,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	6",12999,,"FY12 Q4 Oracle Security Patch (Database and Operating System)",,2012-07-17,2012-08-31,0.01,,,,,,,,,0,0,Green,0.000984,9.84,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	7",13000,,"FY12 Continuity of Operations (COOP) Plan Test and Update",,2012-03-01,2012-03-31,0.025,,,,,,,,,-28,-96.55,Red,-0.00084,-3.36,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	8",13001,,"FY12 Contingency Plan Test and Update",,2012-04-01,2012-04-30,0.015,,,,,,,,,0,0,Green,-0.001493,-9.95,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	9",13002,,"FY12 EOD Update 1201*",,2011-10-04,2012-03-06,0.651,,,,,,,,,-40,-25.97,Yellow,0.02457,3.77,Green,Completed,09/16/2015,21:12:33
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	47",14119,,"FY18 USA Staffing Performance Maintenance Q2","Deployment of changes approved by the Change Control Board.",2017-10-01,2018-03-31,0.225,yes,,,,,,,,0,0,Green,0,0,Green,Completed,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	48",14120,,"FY18 USA Staffing Enhancements Q4","Deployment of changes approved by the Change Control Board.",2018-04-01,2018-09-30,0.225,yes,,,,,,,,-560,-307.69,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	51",15044,,"FY19 USA Staffing Performance Maintenance Q4","FY19 USA Staffing Performance Maintenance Q4.",2019-04-01,2019-09-30,0.225,yes,existing,27916,,,,,"	85",-195,-107.14,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	49",15045,,"FY18 USA Hire Interconnection Enhancements","FY18 USA Hire Interconnection Enhancements.",2017-07-01,2017-12-31,0.521,yes,,,,,,,,-833,-455.19,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	52",15046,,"FY19 USA Hire Performance Maintenance Q2","FY19 USA Hire Performance Maintenance Q2.",2018-10-01,2019-03-31,0.571,yes,,,,,,,,-378,-208.84,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	50",15047,,"FY19 USA Staffing Performance Maintenance Q2","FY19 USA Staffing Performance Maintenance Q2.",2018-10-01,2019-03-31,0.225,yes,,,,,,,,-378,-208.84,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	53",15048,,"FY19 USA Hire Performance Maintenance Q4","FY19 USA Hire Performance Maintenance Q4.",2019-04-01,2019-09-30,0.571,yes,existing,27916,,,,,"	85",-195,-107.14,Red,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	56",16742,,"FY20 USA Staffing Performance Maintenance Q4","FY20 USA Staffing Performance Maintenance Q4.",2020-04-01,2020-09-30,0.000225,yes,existing,27916,,,,,"	85",0,0,Green,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	58",16743,,"FY20 USA Hire Performance Maintenance Q4","FY20 USA Hire Performance Maintenance Q4.",2020-04-01,2020-09-30,0.000571,yes,existing,27916,,,,,"	85",0,0,Green,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	55",16744,,"FY20 USA Staffing Performance Maintenance Q2","FY20 USA Staffing Performance Maintenance Q2.",2019-10-01,2020-03-31,0.000225,yes,existing,27916,,,,,"	85",-12,-6.59,Green,0,0,Green,In-progress,11/29/2019,19:30:09
027-999990129,1497,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","USA Staffing and USA Hire","	57",16745,,"FY20 USA Hire Performance Maintenance Q2","FY20 USA Hire Performance Maintenance Q2.",2019-10-01,2020-03-31,0.000571,yes,existing,27916,,,,,"	85",-12,-6.59,Green,0,0,Green,In-progress,11/29/2019,19:30:09
027-000000191,1820,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","Trust Funds Modernization",TF1,14786,,"Trust Funds (TF) System Replacement Development and implementation","(1) Ensure fiscal integrity by maintaining accountability and control of financial and business processes.(2) Improve program performance, mission support, and decision-making at all levels of the agency by providing management information that link",2017-01-02,2023-09-30,50.2,,new,,,"Number of new management reports.",Count,"Over target","	3",-195,-26.75,Yellow,0,0,Green,In-progress,09/16/2019,20:39:04
027-000000191,1820,"01 - Major IT","01 - Not Applicable","	027","Office of Personnel Management","Trust Funds Modernization",Modernize,16600,,"IT Modernization - Trust Fund","These activities will identify new and innovative technological approaches and data management solutions and services available to address existing gaps related to trust funds accounting, management and technology that are preventing the agency from",2018-07-16,2018-10-31,4,yes,new,,,"Number of innovative technological approaches identified.",Count,"Over target","	3",-529,-494.39,Red,0,0,Green,In-progress,11/29/2019,19:30:09
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	1",1222,"	178974","Project Management",,2010-10-01,2017-12-31,48.264,,,,,,,,,0,0,Green,0,0,Green,Completed,01/28/2016,12:35:39
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	2",1223,"	175766",Engineering,,2010-08-01,2015-12-31,31,,,,,,,,,0,0,Green,0,0,Green,Completed,01/28/2016,12:35:39
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	3",1224,"	175762","System Support and Maintenance",,2010-10-01,2016-12-31,130.878,,,,,,,,,0,0,Green,-0.675,-0.76,Green,Completed,09/14/2017,11:30:43
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	4",1225,"	175767","Rescue 21 Deployment",,2005-08-19,2015-12-31,258,,,,,,,,,0,0,Green,1,0.39,Green,Completed,03/17/2017,03:37:35
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	6",1227,"	175771","R21 Western Rivers",,2011-07-04,2018-02-04,9.1,,,,,,,,,0,0,Green,0,0,Green,Completed,12/29/2017,09:26:34
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	7",1228,"	175765","R21 Alaska",,2010-10-01,2017-09-30,9.5,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,21:08:37
024-000006079,193,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCG - Rescue 21","	8",1229,"	176579",Vessels,,2012-01-01,2013-12-31,1.5,,,,,,,,,0,0,Green,-0.165,-19.64,Yellow,Completed,10/28/2014,08:26:51
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73331",301,"	177433","Acquire IOC",,2010-12-29,2012-12-31,2.36,,,,,,,,,-396,-54.02,Red,0,0,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73332",302,"	177436","COTS Upgrade",,2010-09-29,2012-08-31,29.199,,,,,,,,,-303,-43.16,Red,-0.132,-0.45,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73333",303,"	177432","SOA GSS Integration",,2011-06-01,2013-08-31,0.631,,,,,,,,,-92,-23.29,Yellow,0,0,Green,Completed,09/12/2014,07:33:50
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73334",304,"	180172","Data Center Migration",,2010-11-01,2012-08-31,3.36,,,,,,,,,-212,-31.69,Red,0.114,3.39,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73335",4075,"	193844","WM at DISC",,2015-10-01,2017-06-30,1.513,,,,,,,,,-53,-8.31,Green,0,0,Green,Completed,09/14/2017,11:30:49
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73336",4077,"	193843",eLearning,,2013-08-01,2014-10-31,0.405,,,,,,,,,-140,-30.7,Red,0,0,Green,Completed,09/17/2015,11:45:05
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73337",4079,"	197594",COOP/DR,,2013-06-01,2016-12-31,0.814,,,,,,,,,0,0,Green,0,0,Green,Completed,03/31/2016,11:26:15
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	73339",4083,"	197593","Partner Interfaces",,2013-04-01,2014-09-16,1,,,,,,,,,-106,-30.29,Red,0,0,Green,Completed,01/29/2016,12:18:00
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733310",4085,"	197588","Carrier Rate Changes",,2013-06-03,2014-06-30,0.4,,,,,,,,,-138,-50.74,Red,0,0,Green,Completed,01/29/2016,12:18:00
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733311",4087,"	197591","CMS Integration/WebEOC",,2015-10-01,2016-12-30,0.4,,,,,,,,,-8,-2.66,Green,0,0,Green,Completed,10/28/2017,06:11:21
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733312",13711,"	66957","Upgrade v2016",,2015-11-01,2017-06-01,9.04,,,,,,,,,-57,-11.03,Yellow,0,0,Green,Completed,09/20/2018,01:08:39
024-000007333,168,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","FEMA - Logistics Supply Chain Management System (LSCMS)","	733313",15072,"	95344","Disaster Recovery Alternate Site","Stand up a Disaster Recovery Environment that can operate as an alternative site.",2018-01-29,2019-08-13,0.838,no,existing,,112209,,,,"	98",-73,-14.96,Yellow,-0.005,-0.6,Green,Completed,10/30/2019,15:05:45
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	100",367,"	176003","Functional Releases",,2011-03-22,2012-10-10,6.768,,,,,,,,,-141,-24.82,Yellow,-0.061,-0.9,Green,Completed,06/18/2015,17:01:34
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	200",368,"	175995","SFUI Releases",,2011-08-23,2013-01-08,3.586,,,,,,,,,-80,-16.77,Yellow,0.468,13.05,Yellow,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	300",369,"	175994","RMS Releases",,2011-02-08,2012-08-13,3.773,,,,,,,,,-38,-6.88,Green,0.795,21.07,Yellow,Completed,09/11/2014,06:29:02
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	400",370,"	175996","Maintenance Releases BY13 Q4",,2011-09-01,2011-09-30,0.204,,,,,,,,,0,0,Green,0,0,Green,Completed,09/11/2014,06:29:03
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	500",371,"	175993","Maintenance Releases BY13",,2011-10-01,2012-09-30,2.448,,,,,,,,,0,0,Green,0,0,Green,Completed,09/11/2014,06:29:05
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	110",3843,"	189877","Functional Hardware Releases BY14",,2012-06-14,2014-06-03,19.851,,,,,,,,,-1,-0.14,Green,0.036,0.18,Green,Completed,09/11/2014,06:29:06
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	210",3845,"	190139","Hardware IT Upgrades",,2012-10-01,2014-06-17,1.641,,,,,,,,,0,0,Green,0.023,1.4,Green,Completed,09/11/2014,06:29:07
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	310",3847,"	190140","RMS Releases BY14",,2012-05-25,2013-01-30,1.64,,,,,,,,,-106,-42.4,Red,-0.25,-26.32,Yellow,Completed,09/11/2014,06:29:08
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	510",3849,"	190138","Communications, Data Asests, and Software Upgrades",,2012-10-01,2013-09-30,3.528,,,,,,,,,0,0,Green,0.003,0.09,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	120",7885,"	210728","Performance Level Refresh Releases",,2013-10-17,2015-08-14,15.16,,,,,,,,,0,0,Green,0.19,1.25,Green,Completed,03/27/2015,08:00:21
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	520",7887,"	210727","Software IT Upgrades",,2013-10-01,2015-02-20,7.22,,,,,,,,,0,0,Green,0.048,0.66,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	130",10961,"	227825","Performance Level Refresh Releases",,2014-11-04,2016-04-27,16.2,,,,,,,,,-1,-0.2,Green,0.11,0.68,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	530",10963,"	227826","Software IT Upgrades",,2014-10-01,2015-09-30,4.852,,,,,,,,,0,0,Green,0.02,0.41,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	140",13028,"	44034","Performance Level Refresh Releases",,2015-09-25,2017-02-23,33.13,,,,,,,,,0,0,Green,0.489,1.48,Green,Completed,03/29/2017,11:27:39
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	540",13029,"	44060","Software IT Upgrades",,2015-10-01,2017-03-31,7.688,,,,,,,,,3,0.55,Green,0.165,2.15,Green,Completed,04/27/2017,11:42:52
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	150",13973,"	77377","Performance Level Refresh Releases","Provide timely & accurate watch-list matches and resolutions, and government response coordination. Improve early insight into potential matches to the watch list matching on a 24/7 basis through the SF Operations.",2016-12-07,2021-10-21,53,no,existing,,171975,,,,"	97.5",0,0,Green,1.683,3.18,Green,In-progress,01/30/2020,22:48:33
024-000005605,172,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","TSA - Secure Flight","	550",13974,"	77378","Software IT Upgrades","Upgrades that are designed to improve Risk-Based security initiatives and minimize the overall cost, and improve the performance for core vetting IT systems.",2017-04-01,2021-09-30,35.58,no,existing,,183026,,,,"	97.5",0,0,Green,0.525,1.48,Green,In-progress,01/30/2020,22:48:33
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	5",8437,"	211125","Release 5",,2013-05-28,2015-02-21,97.487,,,,,,,,,-105,-19.85,Yellow,-25.208,-34.88,Red,Completed,10/14/2016,11:24:03
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	6",8439,"	211127",Humanitarian,"Deploy functional capabilities for Deferred Action for Childhood Arrivals and Temporary Protective Status.",2014-10-01,2016-05-31,73.654,yes,existing,,105101,,,,"	8",15,2.47,Green,12.582,22,Yellow,Completed,09/17/2019,19:02:38
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	7",8441,"	211133",Citizenship,"Deploy functional capabilities for Naturalization and Citizenship.",2015-07-01,2019-09-30,88.744,yes,existing,,105101,,,,"	8",48,3.51,Green,24.781,30.2,Red,Completed,09/17/2019,19:02:38
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	8",8443,"	211130",Immigrant,"Deploy functional capabilities to support processing for Immigrant Adjustment of Status (AOS) and support capabilities for the EB-5 Immigrant Investor Program.",2018-06-22,2020-03-31,154.595,yes,existing,,105101,,,,"	8",-12,-1.85,Green,86.964,56.25,Red,In-progress,09/17/2019,19:02:38
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	51",10519,"	224635","Release 5.1",,2014-10-01,2015-08-31,15.316,,,,,,,,,0,0,Green,2.313,15.1,Yellow,Completed,10/14/2016,11:24:03
024-000003015,319,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","USCIS - Transformation","	2",12151,"	236158","Release A2.5",,2013-07-10,2013-10-27,6.799,,,,,,,,,0,0,Green,0,0,Green,Completed,10/14/2016,11:24:03
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	1",290,"	174076","HSIN Release 3  DME",,2011-09-01,2013-09-30,21.47,,,,,,,,,0,0,Green,-0.995,-9.13,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	2",291,"	174078","HS SLIC Consolidation",,2011-03-15,2011-12-30,2.5,,,,,,,,,29,11.84,Yellow,0,0,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	3",292,"	180318","Two Factor Authentication in Legacy",,2011-02-02,2011-09-30,0.313,,,,,,,,,0,0,Green,0.158,50.48,Red,Completed,09/14/2017,11:31:06
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	4",3423,"	196661","Decommission of HSIN Legacy",,2013-07-01,2013-12-31,1.25,,,,,,,,,-31,-16.94,Yellow,0,0,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	5",3425,"	196922","HSIN FY14 Enhancements",,2013-11-18,2014-09-30,3.14,,,,,,,,,25,7.96,Green,0,0,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	6",3427,"	196921","Portal Consolidation",,2013-10-01,2014-09-30,0.357,,,,,,,,,0,0,Green,0.008,2.24,Green,Completed,11/21/2014,15:36:03
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	7",7657,"	209550",Federation,,2013-12-01,2014-09-30,1,,,,,,,,,0,0,Green,-0.05,-5,Green,Completed,10/31/2014,08:37:17
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	8",7659,"	209549","Single Sign-on (SSO) and Applications Integration",,2014-04-01,2014-11-30,0.45,,,,,,,,,2,0.82,Green,0,0,Green,Completed,12/20/2014,10:21:24
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	9",10797,"	228300","HSIN Advanced Enhancements",,2014-10-01,2015-09-30,3.545,,,,,,,,,0,0,Green,0,0,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	10",10799,"	228302","Federation Expanded Capabilities and  Partners",,2014-10-01,2015-09-30,1.567,,,,,,,,,-9,-2.47,Green,0,0,Green,Completed,09/16/2015,15:11:57
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	11",10801,"	228334","Single Sign-on for Fusion Center Applications",,2014-10-01,2015-12-31,0.57,,,,,,,,,0,0,Green,0,0,Green,Completed,07/31/2015,07:25:35
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	12",10803,"	228351","Portal Consolidation and Site Integration",,2014-06-20,2015-09-30,1.125,,,,,,,,,0,0,Green,0,0,Green,Completed,01/28/2016,12:37:51
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	13",12914,"	43480","HSIN User Focused Production Releases FY16",,2015-10-01,2016-08-25,1.892,,,,,,,,,-3,-0.92,Green,0,0,Green,Completed,10/17/2016,19:11:06
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	14",12915,"	43481","HSIN Federation User Focused Capabilities",,2015-10-01,2016-08-15,0.757,,,,,,,,,-3,-0.94,Green,-0.001,-0.13,Green,Completed,10/17/2016,19:11:06
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	15",12916,"	43482","HSIN Site Integration Capabilities",,2015-10-01,2016-08-18,0.504,,,,,,,,,0,0,Green,0,0,Green,Completed,10/17/2016,19:11:06
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	16",14597,"	82000","HSIN 3.0 Cloud Migration",,2016-10-03,2018-01-31,2.1,,,,,,,,,6,1.24,Green,0,0,Green,Completed,01/30/2018,12:36:21
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	17",15073,"	94426","SharePoint Software Upgrade",,2017-09-27,2018-07-27,1.7,,,,,,,,,0,0,Green,0,0,Green,Completed,09/19/2018,21:09:16
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	18",16652,"	104604","HSIN Technical Refresh","The HSIN Tech Refresh project's goals are to upgrade the HSIN system and software to SharePoint 2016 to better support HSIN users and ensure software versions remain supportable by vendors.",2018-07-01,2019-07-31,4.2,no,existing,,170396,,,,"	122000",-16,-4.05,Green,0.099,2.36,Green,Completed,09/17/2019,19:02:39
024-000009102,134,"01 - Major IT","01 - Not Applicable","	024","Department of Homeland Security","DHS - CIO - Homeland Security Information Network (HSIN)","	19",17372,"	113989","HSIN Cloud Technical Refresh","The goal of the HSIN Cloud Technical Refresh is to update the HSIN platform from Microsoft SharePoint 2010 software to SharePoint 2016, and update other HSIN software, to ensure HSIN remains stable and reliable for HSIN stakeholders and partners.",2019-06-03,2020-03-31,4,no,existing,,170396,,,,"	130000",-20,-6.8,Green,0,0,Green,In-progress,03/31/2020,15:49:49
